Probability,Gene Name,Gene ID,Positive Gold Standard,Negative Gold Standard
0.44064927101135254,steap2,261729,0,0
0.5221508741378784,tiprl,261726,0,0
0.46929657459259033,or2w6p,81406,0,0
0.44125819206237793,rfpl1,5988,0,0
0.4916556179523468,rfx1,5989,0,0
0.45151984691619873,rfc2,5982,0,0
0.4706655740737915,rfc3,5983,0,0
0.4860188961029053,rev3l,5980,0,0
0.26424640417099,rfc1,5981,1,0
0.45599523186683655,rfng,5986,0,0
0.4842306077480316,trim27,5987,0,0
0.44630277156829834,rfc4,5984,0,0
0.5006605386734009,rfc5,5985,0,0
0.4895550310611725,rpl18p4,392979,0,0
0.4390169680118561,apoc1,341,0,0
0.4603438675403595,uck1,83549,0,0
0.44090375304222107,ccl11,6356,0,0
0.4573386013507843,znf837,116412,0,0
0.4780094623565674,rps2p28,100132673,0,0
0.4895550310611725,ervk-5,60358,0,0
0.44566747546195984,mfsd5,84975,0,0
0.4895550310611725,linc01623,401242,0,0
0.45009902119636536,nuf2,83540,0,0
0.43971285223960876,samd3,154075,0,0
0.4370872974395752,cyp4x1,260293,0,0
0.4425041675567627,nsun5p2,260294,0,0
0.45266780257225037,ampd1,270,0,0
0.40706244111061096,spata31e1,286234,0,0
0.41495048999786377,ampd3,272,0,0
0.4461389482021332,amph,273,0,0
0.45901432633399963,bin1,274,0,0
0.5007629990577698,amt,275,1,0
0.4398045837879181,amy1a,276,0,0
0.47898411750793457,amy1b,277,0,0
0.48258647322654724,amy1c,278,0,0
0.45415446162223816,amy2a,279,0,0
0.46831345558166504,ccl15,6359,0,0
0.4895550310611725,649201,649201,0,0
0.46929657459259033,linc02843,286238,0,0
0.45617756247520447,khdc1,80759,0,0
0.4716285467147827,prr7,80758,0,0
0.4588528573513031,aarsd1,80755,0,0
0.47701945900917053,tmem121,80757,0,0
0.4895550310611725,100133257,100133257,0,0
0.4895550310611725,prr23d2,100133251,0,0
0.4778989255428314,plac8l1,153770,0,0
0.4635622203350067,dhfr2,200895,0,0
0.4485955238342285,arl13b,200894,0,0
0.45322370529174805,slc22a23,63027,0,0
0.46477368474006653,mfhas1,9258,0,0
0.4846256971359253,tspoap1,9256,1,0
0.4558640420436859,cacna2d2,9254,0,0
0.4518289268016815,aimp1,9255,0,0
0.47561314702033997,rps6ka5,9252,0,0
0.5330439209938049,numbl,9253,0,0
0.42355433106422424,mapkapk3,7867,0,0
0.47179296612739563,ifrd2,7866,0,0
0.4398137629032135,atg4d,84971,0,0
0.5318454504013062,brpf1,7862,0,0
0.4610677659511566,snhg7,84973,0,0
0.4500980079174042,sema3b,7869,0,0
0.4306277334690094,or6c2,341416,0,0
0.41210266947746277,acad11,84129,0,0
0.493725061416626,c1orf94,84970,0,0
0.41333460807800293,agxt2,64902,0,0
0.3979659080505371,ranbp17,64901,0,0
0.20688366889953613,umod,7369,0,1
0.5207708477973938,cdyl2,124359,0,0
0.4895550310611725,cdy2b,203611,0,0
0.4515551030635834,spon2,10417,0,0
0.48540449142456055,snai1p1,10415,0,0
0.4673140347003937,c4orf46,201725,0,0
0.4521583318710327,yap1,10413,0,0
0.47661495208740234,nsa2,10412,0,0
0.41894349455833435,rapgef3,10411,0,0
0.4780263602733612,ifitm3,10410,0,0
0.4566691219806671,midn,90007,0,0
0.4664072096347809,prmt5,10419,0,0
0.3596418499946594,spon1,10418,1,0
0.45134028792381287,gtf3c5,9328,0,0
0.5272406935691833,gtf3c4,9329,0,0
0.4323005974292755,trip10,9322,0,0
0.5372903347015381,trip12,9320,1,0
0.4397469460964203,ccdc184,387856,0,0
0.45604217052459717,znhit3,9326,0,0
0.4585498869419098,hmgn3,9324,0,0
0.4334094822406769,trip4,9325,0,0
